current;S;L(cat);N;L (mm);W (mm);A (mm);H (mm);H(>5mm);CSF (LxW);CSF (A);CSF(>5mm);CSF(LxW+5mm));D;category;PT;
Center North Atlantic Gyre;22;5mm;161;4;4;na;3,2;4;0,8;na;1;0,8;0,935;pellet;PE;
Center North Atlantic Gyre;22;5mm;162;7,5;5,5;na;4,033;1;0,627989148;na;0,155699789;0,155699789;0,935;fragment;PE;
Center North Atlantic Gyre;22;5mm;163;6,5;5;na;3,846;1,7;0,674660015;na;0,298199727;0,298199727;0,935;fragment;PE;
Center North Atlantic Gyre;22;5mm;164;8;6;na;4,5;2;0,649519053;na;0,288675135;0,288675135;0,935;fragment;PE;
Center North Atlantic Gyre;22;5mm;165;9;5;na;2,778;2;0,414086662;na;0,298142397;0,298142397;0,935;fragment;PE;
Center North Atlantic Gyre;22;5mm;166;21;10;na;0,009;0,009;0,000593456;na;0,000621059;0,000621059;na;film;NIR;
Center North Atlantic Gyre;22;5mm;167;7;7;na;0,009;0,009;0,001228571;na;0,001285714;0,001285714;na;film;NIR;
Center North Atlantic Gyre;22;5mm;168;9;7,5;na;6,25;4;0,760725774;na;0,486864496;0,486864496;na;fragment;NIR;
Center North Atlantic Gyre;22;5mm;169;6;7;na;8,167;2;1,260144025;na;0,3086067;0,3086067;na;fragment;NIR;
Center North Atlantic Gyre;22;5mm;170;16;3;na;0,563;2,5;0,081189882;na;0,360843918;0,360843918;na;fragment;NIR;
Center North Atlantic Gyre;22;5mm;171;7;4;na;2,286;0,5;0,431959398;na;0,094491118;0,094491118;0,875;fragment;PP;
Center North Atlantic Gyre;22;5mm;172;9;1,5;na;0,009;0,009;0,002340624;na;0,00244949;0,00244949;0,875;film;PP;
Center North Atlantic Gyre;22;5mm;173;9;3;na;0,009;0,009;0,001655071;na;0,001732051;0,001732051;0,935;film;PE;
Center North Atlantic Gyre;22;5mm;174;8;5;na;0,009;0,009;0,001359779;na;0,001423025;0,001423025;0,935;film;PE;
Center North Atlantic Gyre;22;5mm;175;14;6;na;0,009;0,009;0,000938337;na;0,000981981;0,000981981;0,935;film;PE;
Center North Atlantic Gyre;22;5mm;176;7;4;na;2,286;1;0,431959398;na;0,188982237;0,188982237;0,875;fragment;PP;
Center North Atlantic Gyre;22;5mm;177;9;1,5;na;0,83;0,5;0,068041382;na;0,136082763;0,136082763;0,935;fragment;PE;
Center North Atlantic Gyre;22;5mm;178;6;1;na;0,167;0,5;0,068041382;na;0,204124145;0,204124145;0,875;fragment;PP;
Center North Atlantic Gyre;22;5mm;179;7;1;na;0,143;0,5;0,053994925;na;0,188982237;0,188982237;0,935;fragment;PE;
Center North Atlantic Gyre;22;2mm;180;3,069;2,375;4,827;1,838;;0,680769497;0,836549589;;;0,935;fragment;PE;
Center North Atlantic Gyre;22;2mm;181;3,168;2,351;5,452;1,745;;0,639294818;0,747209116;;;0,935;fragment;PE;
Center North Atlantic Gyre;22;2mm;182;4,653;3,478;10,660;2,600;;0,646241416;0,796246434;;;0,935;fragment;PE;
Center North Atlantic Gyre;22;2mm;183;4,517;2,761;8,161;1,688;;0,477886183;0,590759935;;;0,935;fragment;PE;
Center North Atlantic Gyre;22;2mm;184;4,124;2,673;6,864;1,733;;0,521819679;0,661287972;;;0,935;fragment;PE;
Center North Atlantic Gyre;22;2mm;185;4,601;2,839;9,624;1,752;;0,484696338;0,56467784;;;0,935;fragment;PE;
Center North Atlantic Gyre;22;2mm;186;3,014;2,472;4,975;2,027;;0,74277594;0,908985891;;;0,935;fragment;PE;
Center North Atlantic Gyre;22;2mm;187;4,528;3,525;11,975;2,744;;0,686877127;0,7930016;;;0,935;fragment;PE;
