current;S;L(cat);N;L (mm);W (mm);A (mm);H (mm);H(>5mm);category;PT;
Center North Atlantic Gyre;22;1mm (FS);234;1,801;1,385;1,846;1,06508884;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);235;1,878;1,308;1,799;0,911003195;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);236;2,657;1,535;2,97;0,886799021;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);237;2,726;1,615;3;0,956795671;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);238;2,295;1,877;2,953;1,535132462;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);239;1,859;1,384;1,905;1,030369016;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);240;2,463;1,959;2,97;1,558132765;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);241;2,112;1,507;1,959;1,075307292;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);242;2,585;1,836;3,586;1,304021663;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);243;3,606;1,825;4,935;0,923634221;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);244;2,667;1,526;2,893;0,873144357;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);245;3,858;2,231;5,87;1,290140228;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);246;3,743;1,615;3,941;0,696827411;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);247;2,348;1,862;2,799;1,476594549;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);248;3,655;2,158;5,964;1,274135157;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);249;2,561;2,188;3,97;1,869326045;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);250;2,705;2,308;4,379;1,969265804;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);251;3,34;2,17;5,148;1,409850299;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);252;1,886;1,611;2,172;1,376098091;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);253;2,053;1,666;2,302;1,351951291;;fragment;PE;
