current,S,,N,L (mm),W (mm),A (mm),H (mm),H(>5mm),CSF (LxW),CSF (A),CSF(>5mm),D,category,PT,,,,,MATERIAAL OPTIES,,,,ANTWOORD OPTIES,,,POLYMER OPTIES,
Center North Atlantic Gyre,21,,156,16.098,0.250,9.876,0.250,,0.124618937,0.079551701,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,157,6.475,0.250,6.639,0.250,,0.196494373,0.097026122,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,158,22.011,0.250,10.959,0.250,,0.106573718,0.075518707,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,159,26.734,0.250,17.870,0.250,,0.096702574,0.059139511,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,160,19.868,0.250,10.308,0.250,,0.112174187,0.077866885,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,161,20.973,0.250,13.296,0.250,,0.109179154,0.068561373,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,162,38.256,0.250,22.692,0.250,,0.080838868,0.052481184,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,163,8.172,0.250,5.089,0.250,,0.17490645,0.110821439,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,164,16.596,0.250,13.000,0.250,,0.122734962,0.069337525,,0.875,line,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,165,19.198,0.250,14.840,0.250,,0.11411481,0.064896766,,0.875,line,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,22,5mm,166,21.000,13.000,na,0.009,0.009,0.000520496,na,0.000544705,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,167,9.000,7.500,na,0.009,0.009,0.001046759,na,0.001095445,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,168,12.000,10.000,na,0.009,0.009,0.000785069,na,0.000821584,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,169,8.000,6.000,na,0.009,0.009,0.001241303,na,0.001299038,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,170,10.000,4.000,na,0.009,0.009,0.001359779,na,0.001423025,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,171,12.000,7.000,na,0.009,0.009,0.000938337,na,0.000981981,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,172,8.000,5.000,na,0.009,0.009,0.001359779,na,0.001423025,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,173,6.000,4.000,na,2.667,1.000,0.544331054,na,0.204124145,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,174,7.000,7.000,na,7.000,3.500,1,na,0.5,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,175,10.500,6.500,na,4.024,1.000,0.487064062,na,0.121045507,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,176,17.000,11.000,na,7.118,4.000,0.520493902,na,0.29250897,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,177,7.000,4.000,na,2.286,1.000,0.431959398,na,0.188982237,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,178,10.000,9.000,na,8.100,1.000,0.853814968,na,0.105409255,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,179,6.000,5.000,na,4.167,1.000,0.760725774,na,0.182574186,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,180,6.500,4.000,na,2.462,0.500,0.48274741,na,0.098058068,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,181,6.000,4.000,na,2.667,1.000,0.544331054,na,0.204124145,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,182,9.000,6.000,na,4.000,2.000,0.544331054,na,0.272165527,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,183,4.000,4.000,na,3.200,4.000,0.8,na,1,0.935,pellet,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,184,7.500,5.500,na,4.033,1.000,0.627989148,na,0.155699789,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,185,6.500,5.000,na,3.846,1.700,0.674660015,na,0.298199727,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,186,8.000,6.000,na,4.500,2.000,0.649519053,na,0.288675135,0.935,fragment,PE,,,,,,,,,,,,,
